index,name,upright,reversed
0,Ace of Cups,"Love, new relationships, compassion, creativity","Self-love, repressed emotions, blocked creativity"
1,Two of Cups,"Unified love, partnership, mutual attraction","Break-up, imbalance in a relationship, lack of harmony"
2,Three of Cups,"Celebration, friendship, creativity, community","Independence, alone time, hardcore partying, 'three's a crowd'"
3,Four of Cups,"Meditation, contemplation, apathy, reevaluation","Retreat, withdrawal, checking in for alignment"
4,Five of Cups,"Regret, failure, disappointment, pessimism","Personal setbacks, self-forgiveness, moving on"
5,Six of Cups,"Revisiting the past, childhood memories, innocence, joy","Living in the past, forgiveness, lacking playfulness"
6,Seven of Cups,"Opportunities, choices, wishful thinking, illusion","Alignment, personal values, overwhelmed by choices"
7,Eight of Cups,"Disappointment, abandonment, withdrawal, escapism","Trying again, indecision, aimless drifting, walking away"
8,Nine of Cups,"Contentment, satisfaction, gratitude, wish come true","Inner happiness, materialism, dissatisfaction, indulgence"
9,Ten of Cups,"Divine love, blissful relationships, harmony, alignment","Disconnection, misaligned values, struggling relationships"
10,Page of Cups,"Creative opportunities, intuitive messages, curiosity, possibility","New ideas, doubting intuition, creative blocks, emotional immaturity"
11,Knight of Cups,"Romance, charm, imagination, beauty","Overactive imagination, unrealistic, jealousy, moodiness"
12,Queen of Cups,"Compassionate, caring, emotionally stable, intuitive, in flow","Inner feelings, self-care, self-love, co-dependency"
13,King of Cups,"Emotionally balanced, compassionate, diplomatic","Self-compassion, inner feelings, moodiness, emotionally manipulative"
0,Ace of Wands,"Inspiration, new opportunities, growth, potential","Delays, lack of direction, distractions"
1,Two of Wands,"Future planning, progress, decisions, discovery","Fear of change, playing it safe, lack of planning"
2,Three of Wands,"Expansion, foresight, overseas opportunities","Delays, obstacles to long-term goals, frustration"
3,Four of Wands,"Celebration, harmony, marriage, community, home","Personal celebration, inner harmony, conflict with others"
4,Five of Wands,"Conflict, disagreements, competition, tension, diversity","Avoiding conflict, respecting differences, resolving disputes"
5,Six of Wands,"Success, public recognition, progress, self-confidence","Private achievement, personal doubt, lack of recognition"
6,Seven of Wands,"Challenge, competition, protection, perseverance","Exhaustion, giving up, overwhelmed by opposition"
7,Eight of Wands,"Movement, fast-paced change, action, alignment, air travel","Delays, frustration, resisting change, internal alignment"
8,Nine of Wands,"Resilience, courage, persistence, test of faith, boundaries","Inner resources, struggling, overwhelming odds, defensive"
9,Ten of Wands,"Burden, extra responsibility, hard work, completion","Doing it all, carrying the weight, delegation, release"
10,Page of Wands,"Inspiration, ideas, discovery, limitless potential, free spirit","Self-limiting beliefs, procrastination, newly formed ideas"
11,Knight of Wands,"Energy, passion, inspired action, adventure, impulsiveness","Passion project, haste, scattered energy, delays, frustration"
12,Queen of Wands,"Courage, confidence, independence, social butterfly, determination","Self-respect, introversion, self-confidence, re-establishment"
13,King of Wands,"Natural-born leader, vision, entrepreneur, honor","Impulsiveness, haste, ruthless, high expectations"
0,Ace of Pentacles,"A new financial or career opportunity, manifestation, abundance","Lost opportunity, lack of planning and foresight"
1,Two of Pentacles,"Balancing priorities, adaptability, time management","Over-committed, disorganization, reprioritization"
2,Three of Pentacles,"Teamwork, collaboration, learning, implementation","Disharmony, misalignment, working alone"
